flunet_country	nextstrain_country
Afghanistan	Afghanistan
Albania	Albania
Algeria	Algeria
Angola	Angola
Anguilla	Anguilla
Antigua and Barbuda	Antigua and Barbuda
Argentina	Argentina
Armenia	Armenia
Aruba	Aruba
Australia	Australia
Austria	Austria
Azerbaijan	Azerbaijan
Bahamas	Bahamas
Bahrain	Bahrain
Bangladesh	Bangladesh
Barbados	Barbados
Belarus	Belarus
Belgium	Belgium
Belize	Belize
Bermuda	Bermuda
Bhutan	Bhutan
Bolivia (Plurinational State of)	Bolivia
Bosnia and Herzegovina	Bosnia and Herzegovina
Brazil	Brazil
British Virgin Islands	British Virgin Islands
Brunei Darussalam	Brunei Darussalam
Bulgaria	Bulgaria
Burkina Faso	Burkina Faso
Cambodia	Cambodia
Cameroon	Cameroon
Canada	Canada
Cayman Islands	Cayman Islands
Central African Republic	Central African Republic
Chad	Chad
Chile	Chile
China	China
China, Hong Kong SAR	China, Hong Kong SAR
Colombia	Colombia
Congo	Congo
Costa Rica	Costa Rica
Côte d’Ivoire	Côte d’Ivoire
Croatia	Croatia
Cuba	Cuba
Cyprus	Cyprus
Czechia	Czechia
Democratic People's Republic of Korea	Democratic People's Republic of Korea
Democratic Republic of the Congo	Democratic Republic of the Congo
Denmark	Denmark
Dominica	Dominica
Dominican Republic	Dominican Republic
Ecuador	Ecuador
Egypt	Egypt
El Salvador	El Salvador
Estonia	Estonia
Ethiopia	Ethiopia
Fiji	Fiji
Finland	Finland
France	France
French Guiana	French Guiana
Gabon	Gabon
Georgia	Georgia
Germany	Germany
Ghana	Ghana
Greece	Greece
Grenada	Grenada
Guadeloupe	Guadeloupe
Guatemala	Guatemala
Guinea	Guinea
Guyana	Guyana
Haiti	Haiti
Honduras	Honduras
Hungary	Hungary
Iceland	Iceland
India	India
Indonesia	Indonesia
Iran (Islamic Republic of)	Iran (Islamic Republic of)
Iraq	Iraq
Ireland	Ireland
Israel	Israel
Italy	Italy
Jamaica	Jamaica
Japan	Japan
Jordan	Jordan
Kazakhstan	Kazakhstan
Kenya	Kenya
Kosovo (in accordance with UN Security Council resolution 1244 (1999))	Kosovo (in accordance with UN Security Council resolution 1244 (1999))
Kuwait	Kuwait
Kyrgyzstan	Kyrgyzstan
Lao People's Democratic Republic	Lao People's Democratic Republic
Latvia	Latvia
Lebanon	Lebanon
Liberia	Liberia
Libya	Libya
Liechtenstein	Liechtenstein
Lithuania	Lithuania
Luxembourg	Luxembourg
Madagascar	Madagascar
Malaysia	Malaysia
Maldives	Maldives
Mali	Mali
Malta	Malta
Martinique	Martinique
Mauritania	Mauritania
Mauritius	Mauritius
Mexico	Mexico
Mongolia	Mongolia
Montenegro	Montenegro
Montserrat	Montserrat
Morocco	Morocco
Mozambique	Mozambique
Myanmar	Myanmar
Namibia	Namibia
Nepal	Nepal
Netherlands (Kingdom of the)	Netherlands
New Caledonia	New Caledonia
New Zealand	New Zealand
Nicaragua	Nicaragua
Niger	Niger
Nigeria	Nigeria
North Macedonia	North Macedonia
Norway	Norway
Oman	Oman
Pakistan	Pakistan
Panama	Panama
Papua New Guinea	Papua New Guinea
Paraguay	Paraguay
Peru	Peru
Philippines	Philippines
Poland	Poland
Portugal	Portugal
Qatar	Qatar
Republic of Korea	Republic of Korea
Republic of Moldova	Republic of Moldova
Romania	Romania
Russian Federation	Russia
Rwanda	Rwanda
Saint Barthélemy	Saint Barthélemy
Saint Kitts and Nevis	Saint Kitts and Nevis
Saint Lucia	Saint Lucia
Saint Martin (French part)	Saint Martin (French part)
Saint Vincent and the Grenadines	Saint Vincent and the Grenadines
Saudi Arabia	Saudi Arabia
Senegal	Senegal
Serbia	Serbia
Serbia and Montenegro (2003-2006)	Serbia and Montenegro (2003-2006)
Seychelles	Seychelles
Sierra Leone	Sierra Leone
Singapore	Singapore
Slovakia	Slovakia
Slovenia	Slovenia
Somalia	Somalia
South Africa	South Africa
South Sudan	South Sudan
Spain	Spain
Sri Lanka	Sri Lanka
Sudan	Sudan
Suriname	Suriname
Sweden	Sweden
Switzerland	Switzerland
Syrian Arab Republic	Syrian Arab Republic
Tajikistan	Tajikistan
Thailand	Thailand
Timor-Leste	Timor-Leste
Togo	Togo
Trinidad and Tobago	Trinidad and Tobago
Tunisia	Tunisia
Türkiye	Türkiye
Turkmenistan	Turkmenistan
Turks and Caicos Islands	Turks and Caicos Islands
Uganda	Uganda
Ukraine	Ukraine
United Arab Emirates	United Arab Emirates
United Kingdom, England	United Kingdom
United Kingdom, Northern Ireland	United Kingdom
United Kingdom, Scotland	United Kingdom
United Kingdom, Wales	United Kingdom
United Republic of Tanzania	United Republic of Tanzania
United States of America	Usa
Uruguay	Uruguay
Uzbekistan	Uzbekistan
Venezuela (Bolivarian Republic of)	Venezuela (Bolivarian Republic of)
Viet Nam	Viet Nam
Yemen	Yemen
Zambia	Zambia
Zimbabwe	Zimbabwe
occupied Palestinian territory, including east Jerusalem	occupied Palestinian territory, including east Jerusalem
